gene_id,name
397,AGGF1
398,AGK
399,AGL
400,AGMAT
401,AGPAT1
402,AGPAT2
403,AGPAT3
404,AGPAT4
405,AGPAT5
406,AGPAT6
407,AGPAT9
408,AGPHD1
409,AGPS
410,AGR2
411,AGR3
412,AGRN
413,AGRP
414,AGT
415,AGTPBP1
416,AGTR1
417,AGTR2
418,AGTRAP
419,AGXT
420,AGXT2
421,AGXT2L1
422,AGXT2L2
423,AHCTF1
424,AHCY
425,AHCYL1
426,AHCYL2
427,AHDC1
428,AHI1
429,AHNAK2
430,AHNAK
431,AHR
432,AHRR
433,AHSA1
434,AHSA2
435,AHSG
436,AHSP
437,AICDA
438,AIDA
439,AIF1
440,AIF1L
441,AIFM1
442,AIFM2
443,AIFM3
444,AIG1
445,AIM1
446,AIM1L
447,AIM2
448,AIMP1
449,AIMP2
450,AIP
451,AIPL1
452,AIRE
453,AJAP1
454,AK1
455,AK2
456,AK3
457,AK3L1
458,AK5
459,AK7
460,AKAP10
461,AKAP11
462,AKAP12
463,AKAP13
464,AKAP14
465,AKAP1
466,AKAP2
467,AKAP3
468,AKAP4
469,AKAP5
470,AKAP6
471,AKAP7
472,AKAP8
473,AKAP8L
474,AKAP9
475,AKD1
476,AKIRIN1
477,AKIRIN2
478,AKNA
479,AKNAD1
480,AKR1A1
481,AKR1B10
482,AKR1B1
483,AKR1B15
484,AKR1C1
485,AKR1C2
486,AKR1C3
487,AKR1C4
488,AKR1CL1
489,AKR1D1
490,AKR1E2
491,AKR7A2
492,AKR7A3
493,AKR7L
494,AKT1
495,AKT1S1
496,AKT2
497,AKT3
498,AKTIP
499,ALAD
500,ALAS1
501,ALAS2
502,ALB
503,ALCAM
504,ALDH16A1
505,ALDH18A1
506,ALDH1A1
507,ALDH1A2
508,ALDH1A3
509,ALDH1B1
510,ALDH1L1
511,ALDH1L2
512,ALDH2
513,ALDH3A1
514,ALDH3A2
515,ALDH3B1
516,ALDH3B2
517,ALDH4A1
518,ALDH5A1
519,ALDH6A1
520,ALDH7A1
521,ALDH8A1
522,ALDH9A1
523,ALDOA
524,ALDOB
525,ALDOC
526,ALG10
527,ALG10B
528,ALG11
529,ALG12
530,ALG13
531,ALG14
532,ALG1
533,ALG1L
534,ALG1L2
535,ALG2
536,ALG3
537,ALG5
538,ALG6
539,ALG8
540,ALG9
541,ALK
542,ALKBH1
543,ALKBH2
544,ALKBH3
545,ALKBH4
546,ALKBH5
547,ALKBH6
548,ALKBH7
549,ALKBH8
550,ALLC
551,ALMS1
552,ALMS1P
553,ALOX12
554,ALOX12B
555,ALOX12P2
556,ALOX15
557,ALOX15B
558,ALOX5
559,ALOX5AP
560,ALOXE3
561,ALPI
562,ALPK1
563,ALPK2
564,ALPK3
565,ALPL
566,ALPP
567,ALPPL2
568,ALS2
569,ALS2CL
570,ALS2CR11
571,ALS2CR12
572,ALS2CR4
573,ALS2CR8
574,ALX1
575,ALX3
576,ALX4
577,AMAC1
578,AMAC1L2
579,AMAC1L3
580,AMACR
581,AMBN
582,AMBP
583,AMBRA1
584,AMD1
585,AMDHD1
586,AMDHD2
587,AMELX
588,AMELY
589,AMFR
590,AMH
591,AMHR2
592,AMICA1
593,AMIGO1
594,AMIGO2
595,AMIGO3
